rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
cohere,gpt4,alpaca,wizardlm,chatgpt,vicuna,koala,baize,instructgpt,dolly,openassist,redpajama,mpt,falcon,llama
vicuna,baize,wizardlm,chatgpt,koala,instructgpt,gpt4,openassist,cohere,dolly,redpajama,falcon,alpaca,llama,mpt
vicuna,instructgpt,baize,gpt4,mpt,wizardlm,koala,chatgpt,cohere,dolly,openassist,redpajama,alpaca,falcon,llama
vicuna,baize,koala,wizardlm,gpt4,chatgpt,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
baize,vicuna,chatgpt,wizardlm,instructgpt,gpt4,alpaca,mpt,llama,koala,cohere,dolly,openassist,redpajama,falcon
koala,baize,vicuna,chatgpt,wizardlm,alpaca,instructgpt,gpt4,dolly,openassist,llama,falcon,mpt,cohere,redpajama
koala,chatgpt,wizardlm,vicuna,instructgpt,baize,cohere,dolly,openassist,mpt,alpaca,falcon,gpt4,redpajama,llama
baize,vicuna,chatgpt,wizardlm,koala,instructgpt,mpt,gpt4,cohere,dolly,falcon,openassist,alpaca,redpajama,llama
chatgpt,wizardlm,baize,koala,gpt4,dolly,openassist,falcon,mpt,instructgpt,cohere,alpaca,vicuna,redpajama,llama
wizardlm,vicuna,koala,baize,gpt4,chatgpt,falcon,instructgpt,cohere,dolly,openassist,alpaca,llama,redpajama,mpt
wizardlm,dolly,gpt4,openassist,llama,cohere,baize,vicuna,koala,redpajama,instructgpt,mpt,chatgpt,alpaca,falcon
vicuna,koala,llama,gpt4,chatgpt,falcon,wizardlm,instructgpt,cohere,dolly,mpt,openassist,alpaca,baize,redpajama
baize,instructgpt,wizardlm,chatgpt,gpt4,mpt,llama,alpaca,falcon,dolly,vicuna,koala,cohere,openassist,redpajama
vicuna,baize,wizardlm,koala,gpt4,falcon,chatgpt,instructgpt,cohere,dolly,openassist,alpaca,mpt,redpajama,llama
baize,chatgpt,mpt,koala,alpaca,instructgpt,vicuna,llama,wizardlm,gpt4,openassist,falcon,cohere,dolly,redpajama
chatgpt,vicuna,koala,wizardlm,baize,instructgpt,cohere,dolly,gpt4,redpajama,falcon,openassist,mpt,alpaca,llama
instructgpt,gpt4,koala,vicuna,dolly,chatgpt,baize,wizardlm,cohere,openassist,falcon,redpajama,mpt,alpaca,llama
baize,wizardlm,chatgpt,instructgpt,dolly,gpt4,vicuna,cohere,openassist,mpt,alpaca,falcon,koala,redpajama,llama
chatgpt,gpt4,wizardlm,vicuna,baize,cohere,koala,instructgpt,openassist,dolly,redpajama,mpt,alpaca,falcon,llama
vicuna,chatgpt,dolly,cohere,wizardlm,falcon,mpt,llama,koala,baize,instructgpt,gpt4,openassist,redpajama,alpaca
falcon,vicuna,baize,wizardlm,gpt4,koala,chatgpt,instructgpt,cohere,dolly,openassist,mpt,alpaca,redpajama,llama
dolly,llama,openassist,falcon,alpaca,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,cohere,gpt4,mpt,redpajama
vicuna,koala,wizardlm,baize,chatgpt,instructgpt,dolly,gpt4,cohere,openassist,mpt,alpaca,falcon,redpajama,llama
chatgpt,vicuna,baize,koala,wizardlm,instructgpt,gpt4,dolly,cohere,alpaca,llama,mpt,openassist,falcon,redpajama
vicuna,koala,wizardlm,baize,instructgpt,chatgpt,cohere,gpt4,redpajama,dolly,openassist,mpt,alpaca,falcon,llama
instructgpt,cohere,gpt4,dolly,llama,mpt,koala,vicuna,baize,wizardlm,chatgpt,openassist,redpajama,alpaca,falcon
gpt4,instructgpt,cohere,falcon,llama,chatgpt,vicuna,baize,koala,wizardlm,dolly,openassist,redpajama,mpt,alpaca
baize,koala,wizardlm,chatgpt,vicuna,gpt4,instructgpt,dolly,openassist,redpajama,mpt,alpaca,llama,falcon,cohere
koala,vicuna,dolly,wizardlm,openassist,baize,chatgpt,instructgpt,gpt4,cohere,redpajama,mpt,alpaca,falcon,llama
chatgpt,instructgpt,mpt,koala,falcon,cohere,gpt4,llama,wizardlm,vicuna,baize,dolly,openassist,redpajama,alpaca
baize,vicuna,wizardlm,koala,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,mpt,falcon,llama,alpaca,redpajama
vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,mpt,dolly,alpaca,falcon,llama,redpajama,openassist
mpt,vicuna,chatgpt,instructgpt,gpt4,dolly,cohere,wizardlm,alpaca,falcon,llama,koala,baize,openassist,redpajama
vicuna,baize,wizardlm,chatgpt,instructgpt,koala,gpt4,cohere,openassist,dolly,redpajama,mpt,alpaca,falcon,llama
baize,vicuna,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,openassist,redpajama,mpt,falcon,dolly,alpaca,llama
vicuna,koala,baize,chatgpt,wizardlm,instructgpt,gpt4,dolly,cohere,openassist,redpajama,mpt,alpaca,falcon,llama
chatgpt,vicuna,baize,koala,wizardlm,instructgpt,gpt4,cohere,dolly,openassist,falcon,redpajama,alpaca,mpt,llama
baize,chatgpt,instructgpt,gpt4,cohere,alpaca,falcon,wizardlm,llama,vicuna,koala,dolly,openassist,redpajama,mpt
vicuna,koala,cohere,chatgpt,instructgpt,gpt4,openassist,dolly,mpt,alpaca,baize,wizardlm,falcon,redpajama,llama
wizardlm,vicuna,baize,instructgpt,chatgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama,koala
vicuna,baize,koala,wizardlm,chatgpt,gpt4,instructgpt,dolly,cohere,openassist,mpt,alpaca,falcon,llama,redpajama
chatgpt,baize,vicuna,koala,wizardlm,instructgpt,gpt4,dolly,cohere,openassist,mpt,alpaca,falcon,redpajama,llama
wizardlm,koala,vicuna,cohere,baize,llama,mpt,falcon,chatgpt,instructgpt,openassist,gpt4,dolly,alpaca,redpajama
vicuna,instructgpt,baize,chatgpt,cohere,wizardlm,gpt4,dolly,openassist,mpt,alpaca,falcon,llama,koala,redpajama
vicuna,baize,wizardlm,chatgpt,instructgpt,gpt4,cohere,openassist,dolly,redpajama,mpt,alpaca,falcon,llama,koala
vicuna,baize,wizardlm,koala,chatgpt,instructgpt,gpt4,cohere,alpaca,mpt,falcon,dolly,openassist,redpajama,llama
vicuna,baize,wizardlm,koala,chatgpt,instructgpt,dolly,gpt4,openassist,cohere,mpt,llama,redpajama,alpaca,falcon
vicuna,baize,cohere,wizardlm,chatgpt,instructgpt,gpt4,dolly,koala,mpt,falcon,alpaca,redpajama,openassist,llama
gpt4,vicuna,baize,koala,chatgpt,cohere,wizardlm,dolly,openassist,llama,instructgpt,redpajama,mpt,alpaca,falcon
vicuna,baize,wizardlm,koala,chatgpt,gpt4,openassist,mpt,alpaca,llama,dolly,redpajama,instructgpt,cohere,falcon
