rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
vicuna,gpt4,baize,chatgpt,koala,wizardlm,dolly,cohere,mpt,instructgpt,openassist,redpajama,alpaca,falcon,llama
baize,mpt,redpajama,llama,vicuna,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,alpaca,falcon
wizardlm,gpt4,baize,falcon,vicuna,koala,chatgpt,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,llama
gpt4,chatgpt,vicuna,baize,koala,wizardlm,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
vicuna,baize,koala,wizardlm,gpt4,chatgpt,cohere,dolly,openassist,alpaca,mpt,falcon,instructgpt,redpajama,llama
openassist,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,redpajama,mpt,alpaca,falcon,llama
dolly,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,openassist,redpajama,mpt,alpaca,falcon,llama
dolly,openassist,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,redpajama,mpt,alpaca,falcon,llama
baize,chatgpt,instructgpt,gpt4,cohere,dolly,redpajama,openassist,alpaca,falcon,mpt,koala,wizardlm,vicuna,llama
baize,vicuna,wizardlm,chatgpt,mpt,cohere,alpaca,falcon,llama,koala,instructgpt,gpt4,dolly,openassist,redpajama
vicuna,baize,wizardlm,chatgpt,instructgpt,dolly,openassist,redpajama,mpt,falcon,llama,alpaca,gpt4,koala,cohere
wizardlm,koala,vicuna,chatgpt,instructgpt,gpt4,cohere,openassist,mpt,falcon,llama,alpaca,dolly,baize,redpajama
vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,openassist,redpajama,mpt,alpaca,falcon,llama,dolly
vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,openassist,alpaca,falcon,dolly,llama,mpt,redpajama
dolly,alpaca,vicuna,gpt4,baize,koala,wizardlm,chatgpt,instructgpt,cohere,openassist,redpajama,mpt,falcon,llama
vicuna,baize,chatgpt,instructgpt,gpt4,openassist,mpt,alpaca,cohere,falcon,llama,koala,wizardlm,dolly,redpajama
openassist,koala,vicuna,gpt4,chatgpt,dolly,baize,wizardlm,cohere,alpaca,falcon,instructgpt,redpajama,mpt,llama
gpt4,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
chatgpt,vicuna,baize,koala,wizardlm,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
gpt4,chatgpt,vicuna,baize,koala,wizardlm,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
falcon,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,llama
koala,wizardlm,openassist,chatgpt,vicuna,baize,instructgpt,gpt4,cohere,dolly,redpajama,mpt,alpaca,falcon,llama
vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,falcon,openassist,redpajama,dolly,mpt,alpaca,llama
koala,baize,wizardlm,chatgpt,instructgpt,dolly,gpt4,mpt,alpaca,falcon,vicuna,cohere,openassist,redpajama,llama
cohere,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
gpt4,redpajama,baize,vicuna,koala,wizardlm,chatgpt,instructgpt,cohere,dolly,openassist,mpt,alpaca,falcon,llama
gpt4,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
wizardlm,instructgpt,gpt4,baize,chatgpt,alpaca,falcon,cohere,vicuna,koala,dolly,openassist,redpajama,llama,mpt
wizardlm,chatgpt,instructgpt,gpt4,dolly,cohere,falcon,llama,vicuna,baize,koala,openassist,redpajama,mpt,alpaca
redpajama,cohere,mpt,vicuna,baize,koala,wizardlm,chatgpt,gpt4,instructgpt,dolly,openassist,alpaca,falcon,llama
alpaca,chatgpt,vicuna,baize,koala,wizardlm,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,falcon,llama
baize,vicuna,instructgpt,cohere,falcon,gpt4,koala,wizardlm,chatgpt,dolly,openassist,redpajama,mpt,alpaca,llama
baize,vicuna,chatgpt,alpaca,instructgpt,koala,wizardlm,gpt4,cohere,dolly,openassist,redpajama,mpt,falcon,llama
wizardlm,baize,instructgpt,cohere,chatgpt,gpt4,openassist,dolly,mpt,falcon,koala,vicuna,redpajama,alpaca,llama
