rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
cohere,gpt4,koala,chatgpt,wizardlm,instructgpt,vicuna,alpaca,mpt,openassist,dolly,baize,redpajama,llama,falcon
wizardlm,instructgpt,gpt4,chatgpt,falcon,cohere,vicuna,dolly,baize,koala,llama,openassist,mpt,alpaca,redpajama
baize,vicuna,wizardlm,gpt4,chatgpt,koala,instructgpt,cohere,alpaca,openassist,mpt,dolly,falcon,llama,redpajama
instructgpt,falcon,chatgpt,baize,vicuna,wizardlm,cohere,dolly,gpt4,openassist,llama,mpt,alpaca,koala,redpajama
baize,wizardlm,cohere,gpt4,vicuna,mpt,koala,instructgpt,dolly,alpaca,openassist,chatgpt,falcon,llama,redpajama
baize,vicuna,koala,chatgpt,instructgpt,wizardlm,gpt4,openassist,dolly,cohere,falcon,mpt,redpajama,alpaca,llama
wizardlm,koala,chatgpt,vicuna,baize,llama,instructgpt,gpt4,dolly,cohere,openassist,mpt,falcon,alpaca,redpajama
chatgpt,wizardlm,baize,gpt4,cohere,instructgpt,vicuna,koala,dolly,mpt,openassist,alpaca,falcon,redpajama,llama
wizardlm,baize,chatgpt,gpt4,instructgpt,openassist,dolly,mpt,cohere,falcon,alpaca,redpajama,koala,llama,vicuna
wizardlm,vicuna,chatgpt,koala,instructgpt,cohere,gpt4,openassist,llama,dolly,mpt,baize,falcon,alpaca,redpajama
dolly,gpt4,openassist,llama,mpt,cohere,vicuna,baize,chatgpt,instructgpt,wizardlm,falcon,alpaca,redpajama,koala
koala,cohere,llama,wizardlm,chatgpt,vicuna,instructgpt,gpt4,dolly,openassist,alpaca,mpt,falcon,redpajama,baize
chatgpt,baize,wizardlm,llama,gpt4,instructgpt,falcon,mpt,koala,cohere,vicuna,openassist,dolly,alpaca,redpajama
wizardlm,vicuna,baize,chatgpt,koala,gpt4,falcon,instructgpt,dolly,openassist,cohere,mpt,alpaca,redpajama,llama
baize,vicuna,instructgpt,koala,gpt4,chatgpt,openassist,alpaca,cohere,wizardlm,llama,falcon,dolly,mpt,redpajama
instructgpt,wizardlm,chatgpt,baize,vicuna,gpt4,falcon,cohere,dolly,openassist,alpaca,redpajama,koala,mpt,llama
chatgpt,instructgpt,baize,wizardlm,cohere,dolly,mpt,openassist,gpt4,koala,falcon,vicuna,alpaca,llama,redpajama
gpt4,wizardlm,chatgpt,baize,vicuna,cohere,mpt,instructgpt,dolly,falcon,alpaca,openassist,koala,llama,redpajama
chatgpt,cohere,redpajama,wizardlm,instructgpt,gpt4,vicuna,dolly,openassist,alpaca,baize,falcon,mpt,llama,koala
vicuna,dolly,mpt,llama,wizardlm,instructgpt,baize,chatgpt,alpaca,gpt4,cohere,openassist,falcon,koala,redpajama
