rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,falcon,openassist,redpajama,mpt,alpaca,llama
vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,openassist,cohere,dolly,redpajama,mpt,alpaca,falcon,llama
vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
vicuna,baize,wizardlm,chatgpt,instructgpt,gpt4,dolly,openassist,mpt,koala,redpajama,cohere,alpaca,falcon,llama
instructgpt,baize,falcon,chatgpt,wizardlm,koala,vicuna,openassist,cohere,dolly,gpt4,alpaca,llama,mpt,redpajama
dolly,koala,chatgpt,wizardlm,vicuna,cohere,baize,gpt4,llama,instructgpt,alpaca,redpajama,openassist,mpt,falcon
baize,wizardlm,falcon,vicuna,koala,chatgpt,openassist,instructgpt,cohere,dolly,alpaca,gpt4,mpt,llama,redpajama
dolly,chatgpt,instructgpt,wizardlm,gpt4,cohere,mpt,baize,openassist,alpaca,falcon,llama,koala,redpajama,vicuna
vicuna,koala,gpt4,instructgpt,wizardlm,chatgpt,baize,alpaca,cohere,dolly,llama,redpajama,openassist,mpt,falcon
dolly,gpt4,mpt,openassist,llama,cohere,redpajama,wizardlm,vicuna,koala,chatgpt,instructgpt,baize,alpaca,falcon
vicuna,chatgpt,alpaca,wizardlm,cohere,openassist,instructgpt,llama,koala,dolly,mpt,falcon,gpt4,redpajama,baize
baize,instructgpt,gpt4,wizardlm,falcon,chatgpt,mpt,llama,vicuna,cohere,koala,openassist,dolly,alpaca,redpajama
cohere,vicuna,koala,baize,chatgpt,wizardlm,instructgpt,dolly,gpt4,openassist,alpaca,mpt,falcon,redpajama,llama
gpt4,chatgpt,openassist,wizardlm,llama,baize,alpaca,vicuna,instructgpt,koala,cohere,falcon,mpt,dolly,redpajama
chatgpt,wizardlm,baize,cohere,instructgpt,vicuna,gpt4,falcon,alpaca,dolly,openassist,redpajama,koala,mpt,llama
chatgpt,instructgpt,mpt,gpt4,wizardlm,dolly,falcon,koala,openassist,cohere,vicuna,alpaca,llama,baize,redpajama
gpt4,vicuna,instructgpt,baize,falcon,chatgpt,wizardlm,cohere,mpt,openassist,dolly,redpajama,alpaca,koala,llama
chatgpt,koala,gpt4,instructgpt,cohere,redpajama,wizardlm,vicuna,mpt,openassist,alpaca,falcon,llama,dolly,baize
vicuna,koala,wizardlm,mpt,cohere,llama,chatgpt,instructgpt,gpt4,dolly,openassist,redpajama,alpaca,falcon,baize
koala,openassist,vicuna,wizardlm,baize,chatgpt,instructgpt,dolly,cohere,gpt4,alpaca,falcon,mpt,llama,redpajama
falcon,vicuna,llama,dolly,wizardlm,koala,gpt4,chatgpt,instructgpt,openassist,cohere,redpajama,baize,alpaca,mpt
vicuna,chatgpt,wizardlm,koala,baize,instructgpt,cohere,dolly,openassist,gpt4,falcon,mpt,alpaca,redpajama,llama
baize,wizardlm,vicuna,koala,chatgpt,dolly,cohere,instructgpt,openassist,alpaca,redpajama,gpt4,falcon,mpt,llama
chatgpt,vicuna,koala,baize,instructgpt,wizardlm,cohere,gpt4,dolly,falcon,openassist,mpt,alpaca,llama,redpajama
mpt,instructgpt,gpt4,dolly,llama,baize,cohere,vicuna,alpaca,chatgpt,falcon,wizardlm,openassist,redpajama,koala
koala,gpt4,cohere,instructgpt,falcon,chatgpt,baize,llama,mpt,wizardlm,alpaca,redpajama,vicuna,dolly,openassist
baize,dolly,alpaca,gpt4,vicuna,chatgpt,openassist,cohere,wizardlm,falcon,instructgpt,mpt,redpajama,llama,koala
koala,vicuna,dolly,chatgpt,wizardlm,gpt4,cohere,instructgpt,baize,openassist,mpt,llama,falcon,alpaca,redpajama
llama,instructgpt,gpt4,dolly,wizardlm,cohere,koala,chatgpt,vicuna,baize,openassist,alpaca,falcon,mpt,redpajama
instructgpt,koala,gpt4,vicuna,baize,dolly,chatgpt,wizardlm,cohere,falcon,mpt,openassist,llama,alpaca,redpajama
vicuna,chatgpt,wizardlm,instructgpt,baize,koala,cohere,gpt4,alpaca,openassist,falcon,llama,dolly,mpt,redpajama
gpt4,wizardlm,alpaca,llama,vicuna,instructgpt,cohere,falcon,dolly,chatgpt,baize,koala,openassist,mpt,redpajama
wizardlm,vicuna,chatgpt,baize,koala,instructgpt,cohere,gpt4,dolly,falcon,openassist,alpaca,mpt,redpajama,llama
openassist,baize,cohere,falcon,instructgpt,wizardlm,koala,gpt4,dolly,vicuna,chatgpt,llama,mpt,alpaca,redpajama
vicuna,wizardlm,baize,chatgpt,gpt4,koala,instructgpt,cohere,llama,dolly,redpajama,openassist,falcon,alpaca,mpt
chatgpt,vicuna,koala,wizardlm,instructgpt,gpt4,baize,dolly,cohere,mpt,openassist,falcon,llama,alpaca,redpajama
falcon,cohere,gpt4,baize,instructgpt,vicuna,chatgpt,llama,wizardlm,openassist,koala,alpaca,dolly,mpt,redpajama
chatgpt,koala,instructgpt,dolly,vicuna,alpaca,openassist,wizardlm,gpt4,falcon,mpt,cohere,redpajama,llama,baize
chatgpt,wizardlm,vicuna,instructgpt,gpt4,baize,cohere,mpt,llama,openassist,falcon,alpaca,dolly,koala,redpajama
koala,falcon,vicuna,instructgpt,wizardlm,baize,cohere,dolly,chatgpt,openassist,llama,mpt,gpt4,alpaca,redpajama
baize,wizardlm,chatgpt,instructgpt,cohere,koala,vicuna,gpt4,openassist,falcon,mpt,dolly,redpajama,alpaca,llama
falcon,llama,wizardlm,baize,vicuna,mpt,cohere,gpt4,chatgpt,openassist,instructgpt,dolly,koala,alpaca,redpajama
chatgpt,wizardlm,instructgpt,baize,vicuna,gpt4,dolly,cohere,openassist,falcon,alpaca,mpt,llama,koala,redpajama
chatgpt,baize,cohere,llama,wizardlm,gpt4,vicuna,openassist,instructgpt,dolly,falcon,mpt,alpaca,koala,redpajama
