rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
chatgpt,cohere,gpt4,alpaca,instructgpt,vicuna,baize,koala,wizardlm,dolly,redpajama,mpt,falcon,llama,openassist
gpt4,baize,koala,wizardlm,chatgpt,vicuna,instructgpt,openassist,dolly,cohere,redpajama,falcon,llama,alpaca,mpt
vicuna,baize,instructgpt,gpt4,koala,openassist,wizardlm,cohere,chatgpt,mpt,redpajama,alpaca,dolly,llama,falcon
baize,vicuna,koala,wizardlm,chatgpt,gpt4,cohere,dolly,openassist,mpt,instructgpt,falcon,redpajama,alpaca,llama
baize,chatgpt,instructgpt,openassist,wizardlm,gpt4,vicuna,mpt,koala,alpaca,cohere,dolly,redpajama,falcon,llama
baize,vicuna,instructgpt,koala,dolly,cohere,chatgpt,wizardlm,gpt4,openassist,redpajama,mpt,alpaca,falcon,llama
vicuna,chatgpt,wizardlm,koala,openassist,gpt4,baize,cohere,instructgpt,dolly,llama,redpajama,mpt,alpaca,falcon
vicuna,cohere,koala,chatgpt,wizardlm,baize,gpt4,dolly,openassist,alpaca,mpt,instructgpt,redpajama,llama,falcon
chatgpt,wizardlm,instructgpt,koala,baize,gpt4,openassist,cohere,mpt,redpajama,alpaca,dolly,falcon,llama,vicuna
vicuna,wizardlm,baize,koala,chatgpt,gpt4,dolly,openassist,instructgpt,cohere,redpajama,mpt,alpaca,falcon,llama
gpt4,dolly,openassist,llama,wizardlm,baize,vicuna,chatgpt,koala,redpajama,mpt,instructgpt,cohere,alpaca,falcon
vicuna,llama,wizardlm,instructgpt,chatgpt,cohere,koala,gpt4,dolly,openassist,mpt,alpaca,falcon,redpajama,baize
cohere,baize,chatgpt,wizardlm,openassist,alpaca,koala,redpajama,mpt,gpt4,instructgpt,falcon,llama,dolly,vicuna
vicuna,baize,wizardlm,chatgpt,dolly,instructgpt,koala,gpt4,openassist,cohere,mpt,redpajama,alpaca,falcon,llama
mpt,alpaca,vicuna,baize,koala,chatgpt,instructgpt,cohere,openassist,wizardlm,gpt4,redpajama,falcon,llama,dolly
chatgpt,wizardlm,baize,vicuna,koala,instructgpt,gpt4,openassist,falcon,redpajama,cohere,dolly,alpaca,mpt,llama
baize,koala,cohere,wizardlm,chatgpt,instructgpt,gpt4,openassist,mpt,dolly,vicuna,alpaca,redpajama,falcon,llama
baize,wizardlm,chatgpt,dolly,openassist,instructgpt,cohere,redpajama,koala,vicuna,gpt4,llama,mpt,alpaca,falcon
chatgpt,cohere,vicuna,instructgpt,gpt4,baize,koala,wizardlm,openassist,mpt,alpaca,redpajama,dolly,falcon,llama
baize,alpaca,vicuna,chatgpt,koala,instructgpt,openassist,gpt4,mpt,wizardlm,cohere,dolly,redpajama,falcon,llama
baize,wizardlm,koala,instructgpt,gpt4,chatgpt,cohere,openassist,vicuna,redpajama,mpt,dolly,alpaca,falcon,llama
vicuna,wizardlm,dolly,koala,chatgpt,baize,cohere,openassist,alpaca,falcon,redpajama,mpt,instructgpt,llama,gpt4
baize,koala,wizardlm,gpt4,cohere,vicuna,instructgpt,chatgpt,openassist,dolly,alpaca,mpt,falcon,redpajama,llama
vicuna,baize,koala,wizardlm,mpt,chatgpt,cohere,dolly,openassist,gpt4,instructgpt,redpajama,alpaca,falcon,llama
gpt4,vicuna,chatgpt,baize,wizardlm,instructgpt,cohere,dolly,openassist,koala,mpt,falcon,redpajama,alpaca,llama
gpt4,dolly,mpt,llama,redpajama,vicuna,baize,chatgpt,cohere,instructgpt,wizardlm,falcon,openassist,alpaca,koala
instructgpt,gpt4,alpaca,vicuna,baize,chatgpt,redpajama,wizardlm,dolly,koala,cohere,mpt,falcon,openassist,llama
baize,instructgpt,vicuna,wizardlm,chatgpt,gpt4,alpaca,redpajama,cohere,dolly,falcon,openassist,mpt,koala,llama
baize,koala,vicuna,wizardlm,dolly,alpaca,chatgpt,mpt,redpajama,openassist,llama,instructgpt,gpt4,cohere,falcon
mpt,chatgpt,baize,wizardlm,instructgpt,vicuna,cohere,gpt4,dolly,openassist,redpajama,alpaca,falcon,llama,koala
koala,instructgpt,baize,vicuna,wizardlm,chatgpt,gpt4,dolly,alpaca,mpt,cohere,openassist,redpajama,falcon,llama
wizardlm,baize,chatgpt,koala,vicuna,instructgpt,cohere,gpt4,openassist,dolly,alpaca,falcon,redpajama,mpt,llama
baize,cohere,dolly,vicuna,koala,chatgpt,openassist,mpt,redpajama,wizardlm,gpt4,instructgpt,alpaca,falcon,llama
wizardlm,vicuna,gpt4,instructgpt,chatgpt,dolly,baize,cohere,openassist,mpt,falcon,alpaca,redpajama,koala,llama
falcon,baize,vicuna,koala,chatgpt,gpt4,wizardlm,instructgpt,cohere,dolly,alpaca,openassist,redpajama,mpt,llama
koala,vicuna,chatgpt,baize,llama,gpt4,wizardlm,instructgpt,redpajama,dolly,cohere,falcon,openassist,mpt,alpaca
baize,vicuna,wizardlm,koala,chatgpt,instructgpt,gpt4,openassist,cohere,dolly,mpt,falcon,redpajama,alpaca,llama
baize,chatgpt,koala,redpajama,openassist,dolly,mpt,cohere,alpaca,gpt4,vicuna,wizardlm,falcon,instructgpt,llama
